price,currency,bedrooms,bathrooms,parkingSpots,propertySize,neighborhood,lat,lon
500000,USD,4,3,5,1312,"El Rubi, Tijuana",32.4892109,-117.0338018
1248000,MN,2,2,1,91,"Tijuana, Baja California Norte",32.5149469,-117.0382471
1200000,USD,4,5,3,449,"Colinas de Agua Caliente, Tijuana",32.4910124,-116.9948079
4483000,MN,3,4,2,144,"Panamericano, Tijuana",32.4640278,-117.0095234
320000,USD,4,3,2,377,"Baja Malibu, Tijuana",32.417678,-117.095221
880000,MN,2,1,2,160,"Nuevo Milenio, Tijuana",32.4949653,-117.0683753
1744934,MN,4,2,2,450,"Jardines de Chapultepec, Tijuana",32.4931957,-117.0080519
880000,USD,4,5,4,625,"Hacienda Agua Caliente, Tijuana",32.488683,-116.9992226
1050000,MN,2,1,1,57,"Tijuana, Baja California Norte",32.5149469,-117.0382471
295000,USD,4,2,,300,"10 de Mayo, Tijuana",32.5414892,-116.8866172
225000,USD,4,2,3,316,"Los Santos, Tijuana",32.5105667,-116.9668455
3872000,MN,3,3,2,215,"Panamericano, Tijuana",32.4640278,-117.0095234
2630000,MN,3,2,2,106,"Villa Residencial Santa Fe, Tijuana",32.4327128,-117.0325276
276750,USD,2,,,146,"Playas de Tijuana, Tijuana",32.5112896,-117.091176
3800000,MN,3,2,2,160,"Tijuana, Baja California Norte",32.5149469,-117.0382471
14000000,MN,4,5,5,538,"Hacienda Agua Caliente, Tijuana",32.488683,-116.9992226
297000,USD,3,2,2,340,"Terrazas de La Presa, Tijuana",32.4501402,-116.9190065
2150000,MN,2,1,1,103,"Tijuana, Baja California Norte",32.5149469,-117.0382471
380000,USD,,,,400,"Nueva Tijuana, Tijuana",32.5444283,-116.9307833
4500000,MN,3,3,,232,"Valle del Sur, Tijuana",32.4729087,-117.0249736
3000000,MN,3,2,2,103,"Urbi Quinta del Cedro, Tijuana",32.437178,-117.0661687
185000,USD,3,3,3,270,"Playas de Tijuana, Tijuana",32.5112896,-117.091176
2800000,MN,3,2,2,120,"Tijuana, Baja California Norte",32.5149469,-117.0382471
2052840,MN,3,2,2,120,"Lomas de La Presa, Tijuana",32.4487863,-116.924895
1000000,MN,2,1,1,50,"Tijuana, Baja California Norte",32.5149469,-117.0382471
4000000,MN,6,3,,120,"Tijuana, Baja California Norte",32.5149469,-117.0382471
165000,USD,3,2,,122,"Verona, Tijuana",32.4688092,-116.8194467
2800000,MN,4,2,2,200,"Otay, Tijuana",32.5594732,-116.9734685
3800000,MN,3,2,2,97,"Buenos Aires Norte, Tijuana",32.5171334,-116.9013402
3784200,MN,3,2,2,114,"Brisas del Mar, Tijuana",32.4223625,-117.0933824
90000,USD,2,2,2,51,"Los Lobos, Tijuana",32.5025667,-116.8991318
2996808,MN,3,2,2,111,"Terrazas de La Presa, Tijuana",32.4501402,-116.9190065
150000,USD,4,2,1,250,"Rubio, Tijuana",32.4799298,-116.9462392
217500,USD,3,2,2,129,"Los Arboles, Tijuana",32.49359,-116.9626383
480000,USD,4,4,6,450,"Playas de Tijuana, Tijuana",32.5112896,-117.091176
170000,USD,1,,,2,"Zona Norte, Tijuana",32.5388762,-117.0455722
4694065,MN,2,2,2,152,"Buena Vista, Tijuana",32.5202247,-116.9874497
217500,USD,3,2,2,150,"La Mesa, Tijuana",32.5036879,-116.9631923
1800000,MN,3,2,2,109,"Tijuana, Baja California Norte",32.5149469,-117.0382471
2400000,MN,3,2,2,159,"Tijuana, Baja California Norte",32.5149469,-117.0382471
4483000,MN,4,4,2,250,"Panamericano, Tijuana",32.4640278,-117.0095234
300000,USD,4,3,2,174,"Loma Dorada, Tijuana",32.501994,-116.9101736
580000,USD,3,2,2,271,"Real del Mar, Tijuana",32.4517246,-117.0882341
999000,MN,2,2,2,256,"10 de Mayo, Tijuana",32.5414892,-116.8866172
550000,USD,4,4,3,400,"Chapultepec, Tijuana",32.505132,-117.0102592
2895000,MN,3,2,2,144,"Azteca, Tijuana",32.4679067,-116.9101736
29999,USD,1,1,1,52,"Urbivilla de Prado, Tijuana",32.4228882,-116.9690532
3400000,MN,3,1,2,327,"Tijuana, Baja California Norte",32.5149469,-117.0382471
200000,USD,3,2,2,140,"Francisco Villa, Tijuana",32.5139334,-117.0576295
230000,USD,2,1,5,390,"Libertad, Tijuana",32.5388984,-117.0058446
320000,USD,4,4,,225,"Real del Mar, Tijuana",32.4517246,-117.0882341
4200000,MN,3,2,2,224,"Ciudad Jardin, Tijuana",32.5117028,-117.063962
160000,USD,3,2,3,160,"Tijuana, Baja California Norte",32.5149469,-117.0382471
70000,USD,1,1,,280,"Playas de Tijuana, Tijuana",32.5112896,-117.091176
250000,USD,5,3,,270,"Tijuana, Baja California Norte",32.5149469,-117.0382471
1700000,MN,3,2,2,105,"Tijuana, Baja California Norte",32.5149469,-117.0382471
400000,USD,3,2,4,625,"Los Arboles, Tijuana",32.49359,-116.9626383
580000,USD,4,4,4,450,"Gabilondo, Tijuana",32.5153663,-117.0198237
340000,USD,3,2,2,162,"Madero, Tijuana",32.5193893,-117.0279164
800000,USD,2,2,2,275,"Madero, Tijuana",32.5193893,-117.0279164
4150000,MN,3,2,2,160,"Residencial San Marino, Tijuana",32.4138704,-117.0904405
1500000,MN,3,2,1,80,"Terrazas de La Presa, Tijuana",32.4501402,-116.9190065
360000,USD,3,3,2,225,"Electricistas, Tijuana",32.49892150000001,-116.9789875
485000,USD,3,2,3,415,"Real del Mar, Tijuana",32.4517246,-117.0882341
3220580,MN,4,2,2,145,"Tijuana, Baja California Norte",32.5149469,-117.0382471
850000,USD,3,4,2,400,"Chapultepec, Tijuana",32.505132,-117.0102592
3240000,MN,3,2,2,151,"Villa Residencial Santa Fe, Tijuana",32.4327128,-117.0325276
1046851,MN,2,1,1,250,"La Escondida, Tijuana",32.5068067,-116.9833062
3100000,MN,3,2,1,150,"Garcia, Tijuana",32.4575958,-116.9193746
1928900,MN,3,2,2,120,"Las Plazas, Tijuana",32.4834231,-116.995613
180000,USD,,,,1200,"Ejido Francisco Villa, Tijuana",32.5165825,-116.8954372
945999,MN,3,2,1,135,"Tijuana, Baja California Norte",32.5149469,-117.0382471
365000,USD,3,4,2,200,"Otay, Tijuana",32.5594732,-116.9734685
